"Accident_Index","accyr","Vehicle_Reference","Vehicle_Type","Towing_and_Articulation","Vehicle_Manoeuvre","Vehicle_Location-Restricted_Lane","Junction_Location","Skidding_and_Overturning","Hit_Object_in_Carriageway","Vehicle_Leaving_Carriageway","Hit_Object_off_Carriageway","1st_Point_of_Impact","Was_Vehicle_Left_Hand_Drive","Journey_Purpose_of_Driver","Sex_of_Driver","Age_Band_of_Driver","Engine_Capacity_(CC)","Propulsion_Code","Age_of_Vehicle","Driver_IMD_Decile","Driver_Home_Area_Type","make","model"
"2016010000090","2016","1","9","0","7","0","2","0","0","0","0","3","1","6","3","-1","-1","-1","-1","-1","-1",\0,\0
"2016010000092","2016","1","9","0","18","0","0","0","11","0","0","4","1","2","1","6","1390","1","8","4","1","SEAT","IBIZA SPORTRIDER"
"2016010000092","2016","2","9","0","12","0","0","0","11","0","0","3","1","2","1","6","-1","-1","-1","2","1","VOLKSWAGEN","CADDY C20 STARTLINE TDI"
"2016010000094","2016","1","9","0","3","0","0","0","0","0","0","2","2","2","1","5","1599","1","14","4","1","HYUNDAI","COUPE S"
"2016010000094","2016","2","9","0","18","0","0","0","0","0","0","1","2","6","1","8","1422","1","-1","-1","-1","SKODA","FABIA S TDI"
"2016010000095","2016","1","9","0","18","0","1","0","0","0","0","1","1","6","2","9","1497","8","9","-1","-1","TOYOTA","PRIUS T SPIRIT VV-I AUTO"
"2016010000095","2016","2","9","0","18","0","1","0","0","0","0","2","1","1","1","9","-1","-1","-1","9","1","VOLKSWAGEN","CADDY 69PS SDI"
"2016010000095","2016","3","9","0","18","0","1","0","0","0","0","4","1","6","1","9","1390","1","6","6","1","VOLKSWAGEN","JETTA SE TSI S-A"
"2016010000095","2016","4","9","0","18","0","1","0","0","0","0","3","1","6","1","6","-1","-1","-1","7","1",\0,\0
"2016010000096","2016","1","9","0","17","0","8","0","0","0","0","1","1","6","2","8","1229","1","6","6","2","VAUXHALL","CORSA SXI"
"2016010000096","2016","2","9","0","9","0","8","0","0","0","0","1","1","6","2","7","1796","1","16","3","1","VAUXHALL","ZAFIRA COMFORT 16V AUTO"
"2016010000099","2016","1","9","0","18","0","1","0","0","0","0","1","1","6","1","10","1997","1","11","2","1","PEUGEOT","807 S"
"2016010000100","2016","1","9","0","18","0","0","0","0","0","0","4","2","3","2","7","1598","1","8","9","1","NISSAN","NOTE TEKNA"
"2016010000101","2016","1","19","0","18","0","1","0","0","0","0","1","2","6","3","-1","2461","2","8","-1","-1","VOLKSWAGEN","CRAFTER CR35 109 MWB"
"2016010000101","2016","2","8","0","18","0","1","0","0","0","0","2","2","1","1","6","1598","2","5","1","1","SKODA","OCTAVIA SE TDI CR S-A"
"2016010000103","2016","1","3","0","18","0","8","0","0","0","0","0","1","6","1","7","125","1","7","2","1","HONDA","PES 125-9"
"2016010000103","2016","2","9","0","10","0","8","0","0","0","0","0","1","6","1","6","1956","2","7","-1","-1","VAUXHALL","INSIGNIA EXCLUSIV 130CDTI"
"2016010000108","2016","1","9","0","4","0","0","0","0","0","0","2","1","2","1","8","1997","2","5","-1","-1","FORD","GALAXY ZETEC TDCI AUTO"
"2016010000108","2016","2","4","0","18","2","0","0","0","0","0","1","1","6","1","6","929","1","16","2","1","Honda","CBR 900 RR1"
"2016010000109","2016","1","9","0","9","9","3","1","0","1","4","1","1","6","1","4","1598","1","12","1","1","VOLKSWAGEN","TOURAN SE FSI"
"2016010000109","2016","2","9","0","18","0","3","0","0","0","0","0","1","1","1","7","2993","2","1","4","1","BMW","530D AC AUTO"
"2016010000110","2016","1","9","0","6","0","1","0","0","3","0","4","1","1","1","7","-1","-1","-1","-1","1",\0,\0
"2016010000110","2016","2","9","0","3","0","1","0","10","3","0","1","1","6","3","-1","-1","-1","-1","-1","-1",\0,\0
"2016010000114","2016","1","9","0","12","0","0","0","0","0","0","1","1","3","1","5","1968","2","11","1","1","AUDI","A3 SE TD AUTO"
"2016010000114","2016","2","9","0","4","0","0","0","0","0","0","2","1","1","1","8","-1","-1","-1","6","1",\0,\0
"2016010000114","2016","3","19","0","4","0","0","0","0","0","0","3","1","1","1","8","1968","2","-1","9","3","VOLKSWAGEN","CRAFTER CR35 TDI"
"2016010000115","2016","1","19","0","7","0","2","0","0","0","0","4","1","2","1","8","1997","2","-1","8","1","PEUGEOT","BOXER 335 PRO L2H2 BLUE HDI"
"2016010000115","2016","2","1","0","15","0","2","0","0","1","0","1","1","2","1","5","-1","-1","-1","3","1",\0,\0
"2016010000116","2016","1","19","0","9","0","5","0","0","0","0","1","1","1","1","6","2198","2","2","-1","-1","FORD","TRANSIT 125 T350 RWD"
"2016010000116","2016","2","5","0","18","0","1","0","0","0","0","1","1","6","1","5","-1","-1","-1","7","1",\0,\0
"2016010000117","2016","1","9","0","18","0","0","0","0","0","0","1","1","6","1","7","1995","2","13","5","1","VAUXHALL","ZAFIRA ELEGANCE DTI"
"2016010000117","2016","2","1","0","4","0","0","0","0","0","0","1","1","6","1","7","-1","-1","-1","6","1",\0,\0
"2016010000119","2016","1","19","0","3","0","4","0","0","0","0","1","1","1","1","8","1998","2","13","3","1","FORD","TRANSIT 280 SWB TD"
"2016010000120","2016","1","11","0","18","9","1","0","4","2","2","1","1","6","1","9","9360","2","6","4","1","VOLVO","Missing"
"2016010000120","2016","2","11","0","18","0","1","0","0","0","0","2","1","6","1","8","4500","2","7","4","1","ALEXANDER DENNIS","Missing"
"2016010000120","2016","3","9","0","3","0","1","0","4","0","0","2","1","1","2","6","-1","-1","-1","1","1",\0,\0
"2016010000121","2016","1","11","0","7","0","6","0","0","0","0","1","1","1","1","7","4500","2","6","5","1","ALEXANDER DENNIS","Missing"
"2016010000122","2016","1","9","0","7","0","1","0","0","0","0","1","1","6","1","10","-1","-1","-1","-1","1",\0,\0
"2016010000124","2016","1","9","0","18","0","8","0","11","0","0","1","1","2","1","5","-1","-1","-1","-1","1",\0,\0
"2016010000125","2016","1","8","0","18","0","6","0","0","0","0","1","1","1","1","7","1997","2","2","3","1","FORD","GALAXY ZETEC TDCI AUTO"
"2016010000125","2016","2","4","0","9","0","8","0","0","0","0","3","1","2","1","8","471","1","3","3","1","Honda","CB 500 XA-D"
"2016010000126","2016","1","9","0","18","0","0","0","0","0","0","3","1","3","2","7","1240","1","13","1","1","NISSAN","MICRA S"
"2016010000126","2016","2","21","1","18","0","0","1","0","0","0","1","1","1","1","8","11967","2","5","3","1","MERCEDES","Missing"
"2016010000129","2016","1","9","0","18","0","1","0","0","0","0","3","1","3","2","8","1998","1","9","2","1","HONDA","ACCORD EX I-VTEC"
"2016010000129","2016","2","9","0","9","0","2","0","0","0","0","1","1","1","2","8","1399","2","11","3","1","FORD","FIESTA ZETEC CLIMATE D"
"2016010000130","2016","1","9","0","5","0","2","0","0","0","0","1","1","6","2","4","-1","-1","-1","-1","1",\0,\0
"2016010000132","2016","1","4","0","5","0","1","0","0","0","0","1","1","6","1","5","124","1","8","2","1","YAMAHA","YZF R125"
"2016010000134","2016","1","11","0","18","0","1","0","0","0","0","1","1","1","2","6","4500","2","8","6","1","ALEXANDER DENNIS","Missing"
"2016010000134","2016","2","19","0","5","0","6","0","0","0","0","3","1","1","1","7","2299","2","-1","6","1","VAUXHALL","MOVANO F3500 L2H1 CDTI"
"2016010000135","2016","1","19","0","4","0","1","0","0","0","0","2","1","1","1","6","1598","2","1","6","1","VAUXHALL","VIVARO 2900 SPORTIVE CDTI"
"2016010000135","2016","2","9","0","18","0","1","0","0","0","0","1","1","6","2","7","1796","1","6","3","1","VAUXHALL","ZAFIRA DESIGN"
"2016010000138","2016","1","9","0","18","0","0","0","0","0","0","1","1","6","2","6","1198","1","3","8","1","NISSAN","MICRA ACENTA"
"2016010000138","2016","2","9","0","18","0","0","0","0","0","0","1","1","6","2","8","1198","1","12","6","1","VOLKSWAGEN","POLO TWIST"
"2016010000138","2016","3","9","0","2","0","0","0","0","0","0","3","1","6","3","-1","1968","2","10","-1","-1","AUDI","A6 SE TDI"
"2016010000138","2016","4","9","0","2","0","0","0","0","0","0","3","1","6","3","-1","1197","1","3","-1","-1","VOLKSWAGEN","GOLF S BLUEMOTION TECHN-GY TSI"
"2016010000140","2016","1","11","0","5","0","0","0","0","0","0","0","1","1","1","7","-1","-1","-1","2","1",\0,\0
"2016010000141","2016","1","9","0","9","0","7","0","0","0","0","1","1","6","1","7","1596","1","12","1","1","FORD","FOCUS ZETEC AUTO"
